cveId,assignerShortName,dateReserved,datePublished,dateUpdated,"version",baseSeverity,baseScore,vectorString
2023-0097,WPScan,2023-01-06T08:43:59.758Z,2023-01-30T20:31:47.957Z,2023-01-30T20:31:47.957Z,0,,,
2023-0098,WPScan,2023-01-06T10:28:04.930Z,2023-02-13T14:32:15.988Z,2023-02-13T14:32:15.988Z,0,,,
2023-0099,WPScan,2023-01-06T10:28:17.820Z,2023-02-13T14:32:05.647Z,2024-02-05T17:06:04,0,,,
2023-0100,eclipse,2023-01-06T00:00:00,2023-03-15T00:00:00,2023-03-15T00:00:00,2.6.2,,,
2023-0101,tenable,2023-01-06T00:00:00,2023-01-20T00:00:00,2023-01-20T00:00:00,8.10.1,,,
2023-0102,icscert,2023-01-06T18:50:02.310Z,2023-02-15T17:20:48.504Z,2023-02-15T17:20:48.504Z,01.80,CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H
2023-0103,icscert,2023-01-06T18:50:04.019Z,2023-02-15T17:22:35.371Z,2023-02-15T17:22:35.371Z,Operating,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H
2023-0104,icscert,2023-01-06T18:50:05.156Z,2023-02-22T20:25:04.680Z,2023-02-22T20:25:04.680Z,0,CRITICAL,9.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:H
2023-0105,redhat,2023-01-06T22:29:12.661Z,2023-01-11T20:46:51.617Z,2023-01-13T04:22:02.451274Z,n/a,,,
2023-0106,@huntrdev,2023-01-07T00:00:00,2023-01-07T00:00:00,2023-01-07T00:00:00,unspecified,CRITICAL,9,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
2023-0107,@huntrdev,2023-01-07T00:00:00,2023-01-07T00:00:00,2023-01-07T00:00:00,unspecified,MEDIUM,6.5,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L
2023-0108,@huntrdev,2023-01-07T00:00:00,2023-01-07T00:00:00,2023-01-07T00:00:00,unspecified,HIGH,7.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L
,,,,,,,,
2023-0110,@huntrdev,2023-01-07T00:00:00,2023-01-07T00:00:00,2023-01-07T00:00:00,unspecified,HIGH,7.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L
2023-0111,@huntrdev,2023-01-07T00:00:00,2023-01-07T00:00:00,2023-01-07T00:00:00,unspecified,MEDIUM,5.4,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N
2023-0112,@huntrdev,2023-01-07T00:00:00,2023-01-07T00:00:00,2023-01-07T00:00:00,unspecified,HIGH,7.6,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:H
